CaseID,3. Do you currently live on a farm?,"15a. Increasing public access to natural areas for recreation (hiking, biking, a  swimming, fishing, hunting, etc.)",15b. Beautification of the landscape,15c. Increasing crop production,15d. Increasing livestock production,15e. Improving flood control,15f. Protecting drinking water quality,15g. Protecting water quality for swimming/boating,15h. Protecting water quality for aquatic life,15i. Restoring native prairie,15j. Restoring wetlands,15k.Reducing greenhouse gases (carbon sequestration),15l. Increasing rural job opportunities,15m. Increasing tourism opportunities,15n. Improving game wildlife habitat,15o. Improving non-game wildlife habitat,15p. Other
20595,Yes,No Priority,No Priority,Very High Priority,Very High Priority,High Priority,Slight Priority,No Priority,No Priority,No Priority,No Priority,No Priority,Moderate Priority,No Priority,No Priority,No Priority,8
20597,No,Slight Priority,Slight Priority,No Priority,No Priority,Very High Priority,Very High Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,Slight Priority,Very High Priority,High Priority,Slight Priority,Slight Priority,Very High Priority
20607,No,Moderate Priority,Slight Priority,High Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,High Priority,Moderate Priority,Moderate Priority,High Priority,Very High Priority,Moderate Priority,Slight Priority,Slight Priority,8
20610,No,Slight Priority,Slight Priority,No Priority,No Priority,Very High Priority,Very High Priority,Slight Priority,No Priority,No Priority,No Priority,No Priority,Very High Priority,Moderate Priority,No Priority,No Priority,8
20611,No,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,8
20616,No,Moderate Priority,Moderate Priority,High Priority,High Priority,Very High Priority,High Priority,High Priority,High Priority,Moderate Priority,Slight Priority,Moderate Priority,High Priority,High Priority,High Priority,High Priority,8
20626,Yes,Moderate Priority,Moderate Priority,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,Moderate Priority,High Priority,Moderate Priority,High Priority,High Priority,8
20632,No,Slight Priority,Slight Priority,High Priority,High Priority,High Priority,Very High Priority,Moderate Priority,Moderate Priority,Slight Priority,Slight Priority,Slight Priority,High Priority,Moderate Priority,Slight Priority,Slight Priority,8
20647,No,Moderate Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,High Priority,Moderate Priority,Very High Priority,No Priority,No Priority,8
20654,Yes,Slight Priority,Moderate Priority,Moderate Priority,High Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,Moderate Priority,Slight Priority,Slight Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,8
20663,No,No Priority,No Priority,No Priority,No Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,No Priority,No Priority,No Priority,Moderate Priority,No Priority,Slight Priority,Slight Priority,8
20669,No,Moderate Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,No Priority,Slight Priority,High Priority,Very High Priority,High Priority,Slight Priority,No Priority,8
20674,No,Moderate Priority,Slight Priority,High Priority,High Priority,Very High Priority,High Priority,Moderate Priority,Moderate Priority,Slight Priority,Slight Priority,Slight Priority,Moderate Priority,Moderate Priority,Slight Priority,No Priority,8
20684,Yes,Moderate Priority,Moderate Priority,High Priority,High Priority,High Priority,Very High Priority,High Priority,Moderate Priority,High Priority,High Priority,Slight Priority,Very High Priority,Very High Priority,Very High Priority,High Priority,8
20691,No,High Priority,High Priority,Moderate Priority,Moderate Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Moderate Priority,Moderate Priority,Moderate Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,8
20694,Yes,No Priority,No Priority,No Priority,Moderate Priority,No Priority,High Priority,High Priority,High Priority,High Priority,High Priority,No Priority,High Priority,No Priority,High Priority,Moderate Priority,8
20699,No,No Priority,Slight Priority,Very High Priority,Very High Priority,Very High Priority,Moderate Priority,Moderate Priority,Moderate Priority,No Priority,Moderate Priority,No Priority,High Priority,Slight Priority,Slight Priority,Slight Priority,Very High Priority
20724,Yes,Moderate Priority,High Priority,Very High Priority,Very High Priority,Moderate Priority,Very High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,Very High Priority,Very High Priority,Moderate Priority,Moderate Priority,8
20725,No,No Priority,No Priority,Slight Priority,Slight Priority,Moderate Priority,High Priority,Moderate Priority,Moderate Priority,No Priority,No Priority,Moderate Priority,Moderate Priority,Moderate Priority,Slight Priority,Slight Priority,8
20733,No,Slight Priority,9,High Priority,High Priority,High Priority,Very High Priority,Moderate Priority,High Priority,Moderate Priority,Moderate Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,Moderate Priority,8
20738,No,High Priority,Moderate Priority,Moderate Priority,High Priority,Moderate Priority,Very High Priority,Moderate Priority,Moderate Priority,Moderate Priority,Slight Priority,Moderate Priority,High Priority,High Priority,Slight Priority,Moderate Priority,8
20742,Yes,No Priority,Slight Priority,High Priority,High Priority,High Priority,Very High Priority,Moderate Priority,High Priority,No Priority,High Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,High Priority,8
20744,Yes,Slight Priority,Moderate Priority,High Priority,Moderate Priority,High Priority,Very High Priority,Slight Priority,Slight Priority,Moderate Priority,Slight Priority,High Priority,Very High Priority,High Priority,Very High Priority,Moderate Priority,8
20745,No,Very High Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,High Priority,Moderate Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,8
20747,No,Very High Priority,Very High Priority,Moderate Priority,Moderate Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Moderate Priority,Moderate Priority,High Priority,Very High Priority,Very High Priority,8
20752,No,Slight Priority,Slight Priority,High Priority,High Priority,Moderate Priority,High Priority,High Priority,High Priority,Slight Priority,Slight Priority,Moderate Priority,High Priority,Moderate Priority,High Priority,Moderate Priority,8
20754,No,Moderate Priority,Slight Priority,Slight Priority,Slight Priority,Moderate Priority,High Priority,Moderate Priority,Moderate Priority,Slight Priority,Slight Priority,Moderate Priority,Slight Priority,Moderate Priority,Slight Priority,Moderate Priority,8
20755,No,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Very High Priority,High Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,High Priority,Moderate Priority,High Priority,High Priority,High Priority,8
20759,No,No Priority,No Priority,No Priority,No Priority,No Priority,No Priority,No Priority,No Priority,No Priority,No Priority,No Priority,No Priority,No Priority,No Priority,No Priority,8
20760,No,Moderate Priority,High Priority,Moderate Priority,Slight Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,High Priority,Moderate Priority,Very High Priority,Very High Priority,Very High Priority,High Priority,High Priority,8
20775,No,Slight Priority,Slight Priority,No Priority,No Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,High Priority,High Priority,No Priority,Very High Priority,No Priority,Very High Priority,Very High Priority,8
20779,No,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,High Priority,Very High Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Very High Priority,High Priority,Moderate Priority,High Priority,High Priority,8
20785,No,No Priority,No Priority,Moderate Priority,Moderate Priority,Very High Priority,Very High Priority,Moderate Priority,Very High Priority,Slight Priority,No Priority,Very High Priority,High Priority,High Priority,High Priority,High Priority,8
20789,9,Moderate Priority,Moderate Priority,Slight Priority,Slight Priority,Very High Priority,Very High Priority,Slight Priority,Slight Priority,9,High Priority,Moderate Priority,Very High Priority,High Priority,Slight Priority,No Priority,8
20804,No,Moderate Priority,Moderate Priority,Very High Priority,Very High Priority,High Priority,Very High Priority,High Priority,Very High Priority,Moderate Priority,Moderate Priority,Very High Priority,Very High Priority,High Priority,Moderate Priority,Moderate Priority,8
20812,No,No Priority,Moderate Priority,Moderate Priority,Slight Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,Moderate Priority,Slight Priority,No Priority,Moderate Priority,Slight Priority,Moderate Priority,Moderate Priority,8
20813,Yes,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,Moderate Priority,High Priority,High Priority,Very High Priority,High Priority,Very High Priority,Moderate Priority,8
20822,No,Moderate Priority,Moderate Priority,High Priority,High Priority,High Priority,Very High Priority,High Priority,High Priority,High Priority,Slight Priority,Moderate Priority,Very High Priority,High Priority,High Priority,Slight Priority,8
20829,No,Slight Priority,Slight Priority,High Priority,Slight Priority,Moderate Priority,Very High Priority,Slight Priority,Slight Priority,Slight Priority,Slight Priority,Slight Priority,Very High Priority,Moderate Priority,Moderate Priority,Slight Priority,8
20833,No,High Priority,Moderate Priority,Moderate Priority,No Priority,Slight Priority,Very High Priority,High Priority,High Priority,No Priority,Slight Priority,No Priority,Very High Priority,Very High Priority,High Priority,Moderate Priority,8
20839,No,Moderate Priority,High Priority,Moderate Priority,Moderate Priority,Very High Priority,Very High Priority,Slight Priority,Very High Priority,Moderate Priority,High Priority,Very High Priority,Very High Priority,Moderate Priority,Moderate Priority,Moderate Priority,8
20840,No,Moderate Priority,Moderate Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Slight Priority,Slight Priority,Slight Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,8
20849,No,Slight Priority,Moderate Priority,High Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,High Priority,High Priority,Very High Priority,Very High Priority,Moderate Priority,Slight Priority,Slight Priority,8
20860,No,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,8
20862,Yes,No Priority,Slight Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,No Priority,No Priority,No Priority,No Priority,Very High Priority,Very High Priority,Slight Priority,Slight Priority,Slight Priority,8
20866,No,High Priority,High Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,High Priority,Very High Priority,High Priority,Very High Priority,Moderate Priority,Very High Priority,High Priority,High Priority,High Priority,8
20869,Yes,No Priority,No Priority,Very High Priority,Very High Priority,High Priority,Very High Priority,No Priority,No Priority,Moderate Priority,Moderate Priority,No Priority,Very High Priority,Moderate Priority,Moderate Priority,Moderate Priority,8
20871,Yes,Moderate Priority,Moderate Priority,High Priority,High Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,Moderate Priority,Moderate Priority,Slight Priority,High Priority,Slight Priority,Moderate Priority,Moderate Priority,8
